"1","1982-03-10","2472.37","755","1985-01-09","16","Mira",
"2","1977-12-20","2536.76","443","1994-09-15","5"," Polu",
"3","1975-11-01","1588.91","669","1999-02-09","5","Mira",
"4","1986-04-07","6078.76","955","1987-03-17","18"," Skel",
"5","2001-03-05","9066.57","655","1993-03-05","14"," Polu",
"6","2016-12-14","9881.89","90","1989-03-03","7"," Skel",
"7","1976-04-04","3610.04","376","1981-12-06","5"," Skel",
"8","1982-07-14","7996.92","271","1979-12-22","1","Mira",
"9","1986-01-03","2836.51","197","1984-12-14","3"," Polu",
"10","1988-06-23","9982.82","492","1978-03-14","5"," Skel",
"11","1984-07-16","2505.23","117","1993-04-26","16"," Polu",
"12","2014-06-15","5703.43","326","1976-06-06","18"," Skel",
"13","1970-05-22","5451.87","466","1981-01-13","3"," Skel",
"14","1983-04-21","6731.49","108","1977-12-20","10","Mira",
"15","1983-12-26","4979.51","219","1996-04-22","14"," Polu",
"16","1970-11-13","9971.83","910","1983-11-07","6"," Skel",
"17","1994-10-10","2144.6","588","1998-11-14","1"," Skel",
"18","1995-11-13","6785.36","540","1971-03-06","1","Mira",
"19","2017-04-08","4234.88","422","1982-02-01","18","Mira",
"20","2012-01-08","6116.07","165","1975-07-24","4","Mira",
"21","1989-11-23","3501.71","418","1978-04-19","8"," Skel",
"22","1983-06-23","7741.2","585","1982-04-05","5"," Skel",
"23","1978-04-27","7323.07","931","1974-08-21","6"," Skel",
"24","1999-09-28","1195.68","67","1971-04-04","10"," Skel",
"25","2007-05-15","5871.95","430","1977-11-20","20","Mira",
"26","2011-07-09","5348.68","969","1976-06-19","4"," Polu",
"27","1972-08-03","5700.45","668","1982-02-11","16"," Skel",
"28","1997-02-08","2845.13","65","1991-09-02","19"," Polu",
"29","1973-12-27","8477.26","131","1993-02-17","14","Mira",
"30","1997-11-06","8106.24","9","1979-07-22","2"," Skel",
"31","2000-08-13","8315.23","835","1979-09-28","6","Mira",
"32","2003-07-20","5343.82","984","1989-02-22","10"," Polu",
"33","1984-11-07","5140.7","874","1992-09-19","6"," Skel",
"34","1974-07-02","8023.64","465","1984-06-01","10","Mira",
"35","1970-04-14","8127.45","153","1992-10-19","7"," Skel",
"36","2000-09-30","7232.63","615","1980-11-18","20"," Skel",
"37","2000-10-28","9085.7","753","1974-08-28","16","Mira",
"38","1994-03-08","6286.97","245","1970-04-02","11","Mira",
"39","1979-05-19","3764.45","565","1973-07-25","20"," Polu",
"40","1996-08-08","8097.6","294","1973-05-04","19"," Skel",
"41","2001-05-07","2264.79","372","1991-09-19","16","Mira",
"42","1998-04-05","1071.11","201","1999-04-20","16"," Skel",
"43","1993-06-16","4845.03","675","1984-09-01","17"," Polu",
"44","1978-06-09","5065.14","906","1970-06-25","19"," Skel",
"45","1973-06-28","3167.01","822","1970-05-30","5"," Polu",
"46","1991-05-15","6654.2","729","1995-10-25","10"," Polu",
"47","2015-02-07","2538.53","743","1992-05-12","4","Mira",
"48","1973-03-12","6558.88","22","1998-01-03","6","Mira",
"49","1979-03-12","4351.79","348","1984-03-15","11","Mira",
"50","1987-11-29","1254.3","386","1979-11-29","2"," Polu",
"51","2013-08-15","4309.29","547","1996-09-02","9"," Skel",
"52","1980-11-05","1152.81","852","1976-05-26","18"," Polu",
"53","2000-05-20","2927.64","362","1978-07-16","6","Mira",
"54","1991-01-09","3007.91","647","1991-03-02","15"," Polu",
"55","2020-03-28","5448.62","73","1990-11-19","8","Mira",
"56","1986-07-10","8333.33","844","1983-12-16","6"," Polu",
"57","1972-08-14","5145.52","737","1976-11-09","18"," Skel",
"58","1988-09-11","5493.19","988","1996-04-09","3","Mira",
"59","1997-07-06","6495.49","921","1995-12-23","5","Mira",
"60","2015-01-27","9432.48","357","1994-09-30","12","Mira",
"61","1976-06-16","9586.48","305","1971-06-02","4","Mira",
"62","1997-11-01","3497.11","653","1997-05-18","10"," Polu",
"63","1991-09-08","2249.33","835","1971-10-06","1","Mira",
"64","1984-02-02","3511.88","913","1984-02-01","10","Mira",
"65","2011-05-25","3021.5","792","1973-07-25","19","Mira",
"66","2001-04-12","8761.63","371","1988-02-01","8","Mira",
"67","1989-04-21","9041","473","1984-06-15","9"," Polu",
"68","2008-11-09","7914.9","377","1991-05-22","15","Mira",
"69","1984-03-27","4549.16","22","1991-05-02","19","Mira",
"70","1981-04-17","3113.64","590","1980-09-13","9"," Polu",
"71","1974-09-04","7212.01","463","1999-05-11","14"," Skel",
"72","1983-02-05","9136.52","222","1999-12-05","14"," Skel",
"73","2016-01-21","2759.52","373","1982-09-17","5"," Polu",
"74","1996-03-18","6357.29","971","1979-12-02","10","Mira",
"75","1971-11-10","4309.73","265","1977-09-25","12"," Skel",
"76","2020-10-29","5590.03","681","1990-10-23","10"," Polu",
"77","1981-05-07","9350.56","686","1998-10-29","20","Mira",
"78","1983-10-23","7882.54","753","1974-08-28","16"," Polu",
"79","1986-01-08","4667.77","465","1982-09-13","15"," Polu",
"80","1992-09-14","5693.76","760","1996-01-25","10"," Polu",
"81","2012-08-12","3712.23","311","1993-06-20","17"," Skel",
"82","1991-12-23","7729.36","233","1971-11-20","4"," Skel",
"83","1987-08-08","6034.72","26","1996-11-16","8"," Polu",
"84","1979-07-11","6835.8","5","1972-02-11","3"," Polu",
