"1","670",
"2","593",
"3","131",
"4","671",
"5","878",
"6","551",
"7","832",
"8","22",
"9","85",
"10","541",
"11","442",
"12","590",
"13","897",
"14","47",
"15","58",
"16","473",
"17","22",
"18","496",
"19","455",
"20","724",
"21","58",
"22","325",
"23","650",
"24","471",
"25","14",
"26","233",
"27","438",
"28","64",
"29","562",
"30","186",
"31","58",
"32","332",
"33","779",
"34","189",
"35","102",
"36","757",
"37","740",
"38","34",
"39","779",
"40","824",
"41","575",
"42","321",
"43","514",
"44","572",
"45","367",
"46","571",
"47","144",
"48","389",
"49","167",
"50","599",
"51","213",
"52","224",
"53","23",
"54","862",
"55","694",
"56","37",
"57","195",
"58","232",
"59","100",
"60","756",
"61","418",
"62","158",
"63","187",
"64","296",
"65","347",
"66","289",
"67","153",
"68","186",
"69","322",
"70","31",
"71","110",
"72","896",
"73","351",
"74","623",
"75","567",
"76","718",
"77","294",
"78","711",
"79","206",
"80","461",
"81","409",
"82","418",
"83","684",
"84","432",
"85","380",
"86","478",
"87","468",
"88","574",
"89","710",
"90","568",
"91","429",
"92","227",
"93","726",
"94","616",
"95","523",
"96","173",
"97","5",
"98","676",
"99","359",
"100","326",
"101","707",
"102","468",
"103","322",
"104","158",
"105","191",
"106","889",
"107","875",
"108","484",
"109","699",
"110","181",
"111","44",
"112","207",
"113","598",
"114","728",
"115","639",
"116","77",
"117","306",
"118","207",
"119","651",
"120","116",
"121","774",
"122","180",
"123","343",
"124","600",
"125","796",
"126","865",
"127","772",
"128","800",
"129","641",
"130","230",
"131","225",
"132","447",
"133","698",
"134","547",
"135","604",
"136","888",
"137","535",
"138","579",
"139","471",
"140","333",
"141","759",
"142","515",
"143","540",
"144","457",
"145","343",
"146","278",
"147","534",
"148","649",
"149","485",
"150","284",
"151","764",
"152","359",
"153","463",
"154","206",
"155","58",
"156","358",
"157","171",
"158","830",
"159","257",
"160","811",
"161","160",
"162","482",
"163","358",
"164","857",
"165","129",
"166","61",
"167","844",
"168","663",
"169","640",
"170","415",
"171","96",
"172","498",
"173","29",
"174","636",
"175","55",
"176","372",
"177","13",
"178","588",
"179","120",
"180","498",
"181","871",
"182","883",
"183","856",
"184","434",
"185","188",
"186","13",
"187","791",
"188","359",
"189","843",
"190","148",
"191","269",
"192","102",
"193","630",
"194","626",
"195","58",
"196","758",
"197","687",
"198","1",
"199","521",
"200","426",
"201","416",
"202","616",
"203","24",
"204","445",
"205","351",
"206","78",
"207","816",
"208","364",
"209","665",
"210","35",
"211","861",
"212","636",
"213","18",
"214","817",
"215","170",
"216","205",
"217","829",
"218","61",
"219","564",
"220","771",
"221","208",
"222","832",
"223","872",
"224","838",
"225","558",
"226","30",
"227","695",
"228","344",
"229","31",
"230","316",
"231","770",
"232","446",
"233","31",
"234","793",
"235","890",
"236","382",
"237","871",
"238","806",
"239","746",
"240","636",
"241","840",
"242","706",
"243","372",
"244","857",
"245","622",
"246","541",
"247","162",
"248","551",
"249","601",
"250","725",
"251","422",
"252","809",
"253","657",
"254","394",
"255","746",
"256","315",
"257","423",
"258","541",
"259","658",
"260","453",
"261","856",
"262","528",
"263","899",
"264","887",
"265","421",
"266","889",
"267","368",
"268","391",
"269","794",
"270","214",
"271","127",
"272","733",
"273","19",
"274","498",
"275","690",
"276","641",
"277","139",
"278","852",
"279","292",
"280","740",
"281","677",
"282","714",
"283","648",
"284","434",
"285","207",
"286","494",
"287","748",
"288","630",
"289","135",
"290","506",
"291","183",
"292","90",
"293","134",
"294","182",
"295","77",
"296","554",
"297","170",
"298","445",
"299","45",
"300","63",
"301","658",
"302","172",
"303","796",
"304","677",
"305","670",
"306","586",
"307","418",
"308","808",
"309","538",
"310","709",
"311","647",
"312","314",
"313","523",
"314","395",
"315","748",
"316","730",
"317","888",
"318","596",
"319","460",
"320","123",
"321","201",
"322","642",
"323","212",
"324","334",
"325","823",
"326","289",
"327","888",
"328","93",
"329","733",
"330","33",
"331","155",
"332","490",
"333","204",
"334","50",
"335","266",
"336","873",
"337","635",
"338","684",
"339","780",
"340","272",
"341","493",
"342","527",
"343","586",
"344","115",
"345","21",
"346","434",
"347","844",
"348","9",
"349","129",
"350","403",
"351","131",
"352","330",
"353","145",
"354","343",
"355","664",
"356","68",
"357","632",
"358","652",
"359","160",
"360","464",
"361","684",
"362","314",
"363","54",
"364","887",
"365","364",
"366","320",
"367","860",
"368","99",
"369","103",
"370","740",
"371","371",
"372","595",
"373","366",
"374","56",
"375","709",
"376","387",
"377","490",
"378","653",
"379","396",
"380","619",
"381","156",
"382","527",
"383","48",
"384","300",
"385","870",
"386","711",
"387","367",
"388","601",
"389","463",
"390","526",
