1,676
2,306
3,350
4,454
5,191
6,861
7,209
8,78
9,5
10,135
11,820
12,804
13,554
14,447
15,799
16,458
17,260
18,361
19,537
20,578
21,182
22,318
23,545
24,894
25,63
26,828
27,844
28,555
29,8
30,581
31,713
32,683
33,886
34,163
35,237
36,177
37,123
38,445
39,255
40,127
41,579
42,174
43,31
44,233
45,621
46,830
47,690
48,880
49,290
50,327
51,558
52,471
53,644
54,202
55,465
56,706
57,130
58,408
59,361
60,137
61,88
62,173
63,820
64,74
65,335
66,156
67,250
68,457
69,601
70,504
71,584
72,280
73,678
74,615
75,512
76,399
77,544
78,302
79,378
80,833
81,628
82,36
83,403
84,372
85,237
86,867
87,178
88,367
89,374
90,538
91,504
92,462
93,710
94,423
95,535
96,145
97,579
98,784
99,602
100,279
101,388
102,285
103,558
104,166
105,899
106,170
107,564
108,543
109,471
110,42
111,475
112,199
113,77
114,877
115,570
116,313
117,844
118,747
119,679
120,318
121,384
122,283
123,779
124,194
125,705
126,413
127,339
128,383
129,297
130,40
131,662
132,685
133,325
134,320
135,850
136,324
137,489
138,513
139,866
140,60
141,554
142,440
143,258
144,630
145,417
146,828
147,43
148,360
149,674
150,722
151,678
152,158
153,104
154,556
155,352
156,809
157,69
158,690
159,292
160,366
161,730
162,53
163,150
164,154
165,373
166,100
167,478
168,861
169,612
170,443
171,21
172,266
173,883
174,278
175,895
176,399
177,205
178,38
179,759
180,879
181,759
182,536
183,137
184,863
185,191
186,488
187,771
188,260
189,278
190,162
191,625
192,107
193,215
194,775
195,260
196,587
197,874
198,737
199,548
200,586
201,280
202,568
203,851
204,262
205,846
206,846
207,661
208,150
209,884
210,519
211,129
212,742
213,154
214,265
215,705
216,345
217,752
218,575
219,604
220,129
221,737
222,329
223,235
224,52
225,204
226,495
227,639
228,177
229,332
230,286
231,763
232,612
233,853
234,714
235,873
236,798
237,659
238,633
239,48
240,642
241,252
242,177
243,484
244,405
245,441
246,288
247,750
248,293
249,863
250,454
251,421
252,699
253,782
254,656
255,751
256,85
257,251
258,489
259,262
260,583
261,774
262,125
263,294
264,727
265,838
266,267
267,625
268,597
269,900
270,673
271,339
272,251
273,849
274,822
275,656
276,389
277,210
278,505
279,682
280,172
281,58
282,203
283,871
284,840
285,858
286,722
287,25
288,209
289,310
290,287
291,792
292,184
293,411
294,186
295,10
296,348
297,452
298,635
299,45
300,452
301,407
302,383
303,703
304,355
305,305
306,458
307,744
308,514
309,63
310,525
311,686
312,121
313,727
314,657
315,60
316,685
317,478
318,85
319,894
320,788
321,371
322,785
323,71
324,781
325,70
326,81
327,229
328,522
329,715
330,273
331,74
332,222
333,655
334,776
335,577
336,59
337,334
338,420
339,573
340,397
341,45
342,358
343,517
344,771
345,115
346,577
347,556
348,592
349,661
350,549
351,480
352,132
353,434
354,550
355,13
356,504
357,631
358,241
359,126
360,445
361,514
362,200
363,667
364,268
365,75
366,343
367,327
368,409
369,762
370,900
371,806
372,807
373,357
374,422
375,678
376,471
377,99
378,333
379,163
380,760
381,882
382,642
383,891
384,416
385,292
386,4
387,19
388,22
389,244
390,145
391,467
392,757
393,344
394,233
395,125
396,419
397,575
398,452
399,828
400,437
